eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,324,Austria,0,FirstHalf,Start,Successful,0,0,,
2,,,338,Spain,0,FirstHalf,Start,Successful,0,0,,
3,298839,Mikel Oyarzabal,338,Spain,0,FirstHalf,Pass,Successful,49.9,50.2,37.3,45.6
4,303139,Rodri,338,Spain,0,FirstHalf,Pass,Successful,34.7,44.1,28,14.7
5,362352,Pedro Porro,338,Spain,0,FirstHalf,Pass,Unsuccessful,29.6,10.7,68.3,24.1
3,39722,David Alaba,324,Austria,0,FirstHalf,Pass,Successful,33.8,74.7,48.7,59.3
4,383847,Romano Schmid,324,Austria,0,FirstHalf,Pass,Unsuccessful,48.7,59.3,45.6,71.1
6,261212,Dani Olmo,338,Spain,0,FirstHalf,Pass,Unsuccessful,45.9,28.8,44.6,33.5
16,430703,Paul Wanner,324,Austria,0,FirstHalf,BlockedPass,Successful,55.4,66.5,,
5,,,324,Austria,0,FirstHalf,Foul,Successful,54.4,68.2,,
7,261212,Dani Olmo,338,Spain,0,FirstHalf,Foul,Unsuccessful,45.6,31.8,,
6,262856,Xaver Schlager,324,Austria,0,FirstHalf,Pass,Successful,54.4,70.2,44.8,66.3
7,39722,David Alaba,324,Austria,0,FirstHalf,Pass,Successful,44.8,66.3,39.4,24
8,330816,Kevin Danso,324,Austria,0,FirstHalf,Pass,Successful,35.9,21.9,14.5,45.5
9,130812,Alexander Schlager,324,Austria,0,FirstHalf,Pass,Successful,15.3,53.6,22.4,78.7
10,39722,David Alaba,324,Austria,0,FirstHalf,Pass,Successful,23.9,80.9,31.1,96.8
11,248010,Konrad Laimer,324,Austria,0,FirstHalf,Pass,Successful,44.9,91.7,92.5,93.3
12,92051,Marcel Sabitzer,324,Austria,0,FirstHalf,Pass,Unsuccessful,97.4,86.9,92.6,59.4
8,498386,Pau Cubarsí,338,Spain,0,FirstHalf,Clearance,Successful,9.1,40,19.1,13.9
13,248010,Konrad Laimer,324,Austria,0,FirstHalf,Pass,Successful,87.6,81.5,91.5,88.7
14,92051,Marcel Sabitzer,324,Austria,0,FirstHalf,Pass,Successful,90.3,89.6,76.5,70.9
15,418587,Nicolas Seiwald,324,Austria,0,FirstHalf,BallTouch,Unsuccessful,75.7,67.5,,
9,480249,Lamine Yamal,338,Spain,0,FirstHalf,BallRecovery,Successful,25.7,31.2,,
10,480249,Lamine Yamal,338,Spain,0,FirstHalf,Pass,Successful,38.4,52.3,58.8,75.6
11,395242,Álex Baena,338,Spain,0,FirstHalf,Pass,Successful,62.9,72.7,66.3,67
12,480249,Lamine Yamal,338,Spain,1,FirstHalf,SavedShot,Successful,80.3,66.7,,
17,130812,Alexander Schlager,324,Austria,1,FirstHalf,Save,Successful,3.1,49.6,,
18,130812,Alexander Schlager,324,Austria,1,FirstHalf,KeeperPickup,Successful,3.1,49.6,,
20,130812,Alexander Schlager,324,Austria,1,FirstHalf,Pass,Successful,4.7,49.6,7.8,32.1
21,330816,Kevin Danso,324,Austria,1,FirstHalf,Pass,Successful,9.6,29.8,23.8,25.2
22,418587,Nicolas Seiwald,324,Austria,1,FirstHalf,Pass,Successful,23.9,25,11.1,31.6
23,330816,Kevin Danso,324,Austria,1,FirstHalf,Pass,Successful,12.6,38.3,9.3,78.1
24,39722,David Alaba,324,Austria,1,FirstHalf,Pass,Successful,13.5,85.4,4.7,66.9
25,130812,Alexander Schlager,324,Austria,1,FirstHalf,Pass,Successful,8.3,58.7,15.8,28.2
26,330816,Kevin Danso,324,Austria,1,FirstHalf,Pass,Successful,26.3,22.4,31,2.6
27,333741,Stefan Posch,324,Austria,1,FirstHalf,Pass,Successful,27.7,5.5,8.3,19.7
28,330816,Kevin Danso,324,Austria,1,FirstHalf,Pass,Successful,15.1,9.4,42.4,7.7
29,383847,Romano Schmid,324,Austria,1,FirstHalf,Pass,Successful,42.4,7.7,37.2,12.9
30,430703,Paul Wanner,324,Austria,1,FirstHalf,Pass,Unsuccessful,36.9,12.8,35.2,0
14,363496,Marc Cucurella,338,Spain,1,FirstHalf,Pass,Successful,61,100,67.2,90.9
15,261212,Dani Olmo,338,Spain,1,FirstHalf,Pass,Successful,67,90.9,69.1,96.1
16,395242,Álex Baena,338,Spain,1,FirstHalf,TakeOn,Unsuccessful,71.1,94.7,,
32,330816,Kevin Danso,324,Austria,2,FirstHalf,Clearance,Successful,15.4,13.4,18.1,11.9
18,395242,Álex Baena,338,Spain,2,FirstHalf,BallTouch,Successful,73.3,92.9,,
49,330816,Kevin Danso,324,Austria,2,FirstHalf,BallRecovery,Successful,10.7,4.8,,
33,330816,Kevin Danso,324,Austria,2,FirstHalf,Pass,Unsuccessful,19,5.5,54.5,5.8
